RegionName,SubRegionName,CountryName,Year,Count
Africa,Eastern Africa,Kenya,2013,2
Americas,Caribbean,Barbados,2013,0
Americas,Central America,Guatemala,2013,519
Americas,Central America,Honduras,2013,1
Americas,Central America,Mexico,2013,0
Americas,South America,Chile,2013,28
Americas,South America,Colombia,2013,911
Americas,South America,Ecuador,2013,0
Americas,South America,Guyana,2013,0
Asia,Eastern Asia,China,2013,0
Asia,Eastern Asia,Macao Special Administrative Region of China,2013,4
Asia,Eastern Asia,Mongolia,2013,0
Asia,South-Eastern Asia,Myanmar,2013,0
Asia,South-Eastern Asia,Singapore,2013,0
Asia,South-Eastern Asia,Thailand,2013,0
Asia,Western Asia,Armenia,2013,80
Asia,Western Asia,Azerbaijan,2013,0
Asia,Western Asia,Cyprus,2013,12
Asia,Western Asia,Turkey,2013,2450
Asia,Western Asia,United Arab Emirates,2013,0
Europe,Eastern Europe,Bulgaria,2013,0
Europe,Eastern Europe,Czech Republic,2013,282
Europe,Eastern Europe,Hungary,2013,335
Europe,Eastern Europe,Poland,2013,6266
Europe,Eastern Europe,Romania,2013,0
Europe,Eastern Europe,Russian Federation,2013,14078
Europe,Eastern Europe,Slovakia,2013,46
Europe,Northern Europe,Denmark,2013,8
Europe,Northern Europe,Finland,2013,32
Europe,Northern Europe,Latvia,2013,0
Europe,Northern Europe,Lithuania,2013,104
Europe,Northern Europe,Sweden,2013,122
Europe,Northern Europe,United Kingdom (Scotland),2013,5
Europe,Southern Europe,Albania,2013,0
Europe,Southern Europe,Bosnia and Herzegovina,2013,0
Europe,Southern Europe,Croatia,2013,0
Europe,Southern Europe,Kosovo under UNSCR 1244,2013,67
Europe,Southern Europe,Montenegro,2013,0
Europe,Southern Europe,Portugal,2013,58
Africa,Eastern Africa,Kenya,2014,88
Americas,Caribbean,Barbados,2014,0
Americas,Central America,Guatemala,2014,587
Americas,Central America,Honduras,2014,1
Americas,Central America,Mexico,2014,0
Americas,South America,Chile,2014,23
Americas,South America,Colombia,2014,2187
Americas,South America,Ecuador,2014,0
Americas,South America,Guyana,2014,0
Asia,Eastern Asia,China,2014,0
Asia,Eastern Asia,Macao Special Administrative Region of China,2014,6
Asia,Eastern Asia,Mongolia,2014,0
Asia,South-Eastern Asia,Myanmar,2014,2
Asia,South-Eastern Asia,Singapore,2014,0
Asia,South-Eastern Asia,Thailand,2014,0
Asia,Western Asia,Armenia,2014,66
Asia,Western Asia,Azerbaijan,2014,0
Asia,Western Asia,Cyprus,2014,12
Asia,Western Asia,Turkey,2014,2927
Asia,Western Asia,United Arab Emirates,2014,0
Europe,Eastern Europe,Bulgaria,2014,0
Europe,Eastern Europe,Czech Republic,2014,185
Europe,Eastern Europe,Hungary,2014,112
Europe,Eastern Europe,Poland,2014,5516
Europe,Eastern Europe,Romania,2014,0
Europe,Eastern Europe,Russian Federation,2014,13912
Europe,Eastern Europe,Slovakia,2014,53
Europe,Northern Europe,Denmark,2014,9
Europe,Northern Europe,Finland,2014,22
Europe,Northern Europe,Latvia,2014,0
Europe,Northern Europe,Lithuania,2014,134
Europe,Northern Europe,Sweden,2014,108
Europe,Northern Europe,United Kingdom (Scotland),2014,2
Europe,Southern Europe,Albania,2014,0
Europe,Southern Europe,Bosnia and Herzegovina,2014,0
Europe,Southern Europe,Croatia,2014,0
Europe,Southern Europe,Kosovo under UNSCR 1244,2014,56
